Date,Close
2018-01-02 00:00:00-05:00,5.832767963409424
2018-01-03 00:00:00-05:00,5.890264987945557
2018-01-04 00:00:00-05:00,5.960538864135742
2018-01-05 00:00:00-05:00,5.9733171463012695
2018-01-08 00:00:00-05:00,5.960538864135742
2018-01-09 00:00:00-05:00,5.954150676727295
2018-01-10 00:00:00-05:00,5.928595542907715
2018-01-11 00:00:00-05:00,5.954150676727295
2018-01-12 00:00:00-05:00,6.056367874145508
2018-01-16 00:00:00-05:00,6.075533390045166
2018-01-17 00:00:00-05:00,6.094698905944824
2018-01-18 00:00:00-05:00,6.094698905944824
2018-01-19 00:00:00-05:00,6.113864898681641
2018-01-22 00:00:00-05:00,6.158586025238037
2018-01-23 00:00:00-05:00,6.177751541137695
2018-01-24 00:00:00-05:00,6.254413604736328
2018-01-25 00:00:00-05:00,6.235248565673828
2018-01-26 00:00:00-05:00,6.279967784881592
2018-01-29 00:00:00-05:00,6.203305244445801
2018-01-30 00:00:00-05:00,6.1010870933532715
2018-01-31 00:00:00-05:00,6.152196407318115
2018-02-01 00:00:00-05:00,6.222469806671143
2018-02-02 00:00:00-05:00,6.075533390045166
2018-02-05 00:00:00-05:00,5.839155673980713
2018-02-06 00:00:00-05:00,5.749716281890869
2018-02-07 00:00:00-05:00,5.641110420227051
2018-02-08 00:00:00-05:00,5.56444787979126
2018-02-09 00:00:00-05:00,5.455842018127441
2018-02-12 00:00:00-05:00,5.532504558563232
2018-02-13 00:00:00-05:00,5.551670074462891
2018-02-14 00:00:00-05:00,5.7369384765625
2018-02-15 00:00:00-05:00,5.794435977935791
2018-02-16 00:00:00-05:00,5.775270462036133
2018-02-20 00:00:00-05:00,5.717772960662842
2018-02-21 00:00:00-05:00,5.730550289154053
2018-02-22 00:00:00-05:00,5.730550289154053
2018-02-23 00:00:00-05:00,5.730550289154053
2018-02-26 00:00:00-05:00,5.756104946136475
2018-02-27 00:00:00-05:00,5.717772960662842
2018-02-28 00:00:00-05:00,5.621944904327393
2018-03-01 00:00:00-05:00,5.545281887054443
2018-03-02 00:00:00-05:00,5.596390247344971
2018-03-05 00:00:00-05:00,5.6283345222473145
2018-03-06 00:00:00-05:00,5.67305326461792
2018-03-07 00:00:00-05:00,5.641110420227051
2018-03-08 00:00:00-05:00,5.583613395690918
2018-03-09 00:00:00-05:00,5.641110420227051
2018-03-12 00:00:00-04:00,5.641110420227051
2018-03-13 00:00:00-04:00,5.647499084472656
2018-03-14 00:00:00-04:00,5.609167098999023
2018-03-15 00:00:00-04:00,5.596390247344971
2018-03-16 00:00:00-04:00,5.615555763244629
2018-03-19 00:00:00-04:00,5.590002059936523
2018-03-20 00:00:00-04:00,5.615555763244629
2018-03-21 00:00:00-04:00,5.698607921600342
2018-03-22 00:00:00-04:00,5.615555763244629
2018-03-23 00:00:00-04:00,5.634721755981445
2018-03-26 00:00:00-04:00,5.698607921600342
2018-03-27 00:00:00-04:00,5.615555763244629
2018-03-28 00:00:00-04:00,5.519728183746338
2018-03-29 00:00:00-04:00,5.532504558563232
2018-04-02 00:00:00-04:00,5.494174003601074
2018-04-03 00:00:00-04:00,5.519728183746338
2018-04-04 00:00:00-04:00,5.513339042663574
2018-04-05 00:00:00-04:00,5.468619346618652
2018-04-06 00:00:00-04:00,5.449452877044678
2018-04-09 00:00:00-04:00,5.494174003601074
2018-04-10 00:00:00-04:00,5.551670074462891
2018-04-11 00:00:00-04:00,5.609167098999023
2018-04-12 00:00:00-04:00,5.609167098999023
2018-04-13 00:00:00-04:00,5.621944904327393
2018-04-16 00:00:00-04:00,5.609167098999023
2018-04-17 00:00:00-04:00,5.596390247344971
2018-04-18 00:00:00-04:00,5.621944904327393
